Nucleus,Z,A,"B/A (EXP, MeV)"
H,1,3,2.827
He,2,4,7.074
Li,3,6,5.33233
Li,3,7,5.60629
Be,4,9,6.46278
B,5,10,6.4751
B,5,11,6.92773
C,6,12,7.68017
C,6,13,7.46985
N,7,14,7.47564
N,7,15,7.69947
O,8,16,7.97619
O,8,17,7.75076
F,9,19,7.779
Ne,10,21,7.97171
Na,11,23,8.11148
Mg,12,25,8.22352
Mg,12,26,8.33388
Al,13,27,8.33156
Si,14,29,8.44866
Si,14,30,8.52067
P,15,31,8.48119
S,16,34,8.5835
Cl,17,37,8.5703
Ar,18,38,8.61429
K,19,41,8.57607
Ca,20,43,8.60067
Sc,21,45,8.61884
Ti,22,47,8.66113
Ti,22,48,8.72292
V,23,50,8.69588
Cr,24,52,8.77594
Mn,25,55,8.765
Fe,26,56,8.79032
Fe,26,57,8.77026
Co,27,59,8.76802
Ni,28,61,8.76502
Cu,29,63,8.75214
Cu,29,65,8.75711
Zn,30,66,8.75964
Ga,31,69,8.72458
Ge,32,70,8.72173
As,33,75,8.70085
Se,34,76,8.71149
Br,35,79,8.68761
Kr,36,80,8.69293
Rb,37,85,8.69745
Sr,38,84,8.67745
Sr,38,86,8.70847
Sr,38,88,8.7326
Y,39,89,8.71391
Zr,40,90,8.70992
Nb,41,93,8.66414
Mo,42,94,8.6623
Mo,42,95,8.64868
Ru,44,100,8.61928
Ru,44,101,8.60129
Rh,45,103,8.58411
Pd,46,105,8.57061
Pd,46,106,8.57994
Ag,47,107,8.55386
Cd,48,110,8.55133
Cd,48,111,8.53714
In,49,113,8.52296
Sn,50,115,8.5141
Sn,50,116,8.52314
Sb,51,121,8.48202
Te,52,122,8.47814
,53,127,8.44549
Xe,54,126,8.44372
Cs ,55,133,8.40998
Ba,56,132,8.40938
Ba,56,134,8.40818
La,57,138,8.37517
La,57,139,8.37806
Ce,58,138,8.37707
Pr,59,141,8.35404
Nd,60,143,8.33053
Nd,60,144,8.32697
Sm,62,149,8.26351
Sm,62,150,8.26167
Eu,63,153,8.22875
Gd,64,155,8.2133
Gd,64,156,8.21537
Tb,65,159,8.18885
Dy,66,160,8.18409
Dy,66,161,8.17335
Ho,67,165,8.14701
Er,68,167,8.13178
Tm,69,169,8.11451
Yb,70,173,8.08746
Lu,71,176,8.05906
Hf,72,179,8.0386
Hf,72,180,8.03498
Ta,73,181,8.02343
W,74,186,7.98861
Re,75,187,7.97795
Os,76,192,7.94852
Ir,77,193,7.93812
Pt,78,198,7.91418
Au,79,197,7.91566
Hg,80,204,7.88555
T,81,205,7.8784
Pb,82,208,7.86746
Bi,83,209,7.84799
Th,90,232,7.61503
U,92,234,7.60071
U,92,235,7.59091
U,92,238,7.57013
